start_date,end_date,number,opinion,percent
1956-05-29,1956-05-29,34,approve,71
1956-05-08,1956-05-08,34,approve,69
1956-03-29,1956-04-03,34,approve,72
1956-03-06,1956-03-06,34,approve,72
1956-02-14,1956-02-14,34,approve,74
1956-01-24,1956-01-24,34,approve,76
1956-01-04,1956-01-04,34,approve,76
1955-12-06,1955-12-06,34,approve,74
1955-11-17,1955-11-22,34,approve,77
1955-09-13,1955-09-13,34,approve,70
1955-08-23,1955-08-23,34,approve,70
1955-08-02,1955-08-02,34,approve,75
1955-07-12,1955-07-12,34,approve,72
1955-06-22,1955-06-22,34,approve,67
1955-06-03,1955-06-08,34,approve,69
1955-05-12,1955-05-17,34,approve,67
1955-04-14,1955-04-19,34,approve,69
1955-03-22,1955-03-22,34,approve,64
1955-03-01,1955-03-01,34,approve,70
1955-02-10,1955-02-15,34,approve,72
1955-01-18,1955-01-18,34,approve,69
1954-12-31,1955-01-05,34,approve,69
1954-11-30,1954-11-30,34,approve,68
1954-11-11,1954-11-16,34,approve,57
1954-10-13,1954-10-13,34,approve,61
1954-09-16,1954-09-21,34,approve,65
1954-08-24,1954-08-24,34,approve,61
1954-08-03,1954-08-03,34,approve,67
1954-07-16,1954-07-21,34,approve,74
1954-06-30,1954-06-30,34,approve,64
1954-06-12,1954-06-17,34,approve,61
1954-05-21,1954-05-26,34,approve,61
1954-04-08,1954-04-13,34,approve,68
1954-04-03,1954-04-03,34,approve,60
1954-03-17,1954-03-17,34,approve,64
1954-02-23,1954-02-23,34,approve,66
1954-01-26,1954-01-26,34,approve,70
1954-01-07,1954-01-07,34,approve,70
1953-12-09,1953-12-09,34,approve,68
1953-11-01,1953-11-05,34,approve,61
1953-10-09,1953-10-14,34,approve,64
1953-09-12,1953-09-17,34,approve,60
1953-08-15,1953-08-20,34,approve,73
1953-07-23,1953-07-23,34,approve,72
1953-05-09,1953-05-14,34,approve,73
1953-04-19,1953-04-24,34,approve,73
1953-03-28,1953-04-02,34,approve,73
1953-02-20,1953-02-20,34,approve,66
1953-02-01,1953-02-05,34,approve,68
1963-11-08,1963-11-13,35,approve,58
1963-10-09,1963-10-09,35,approve,58
1963-09-10,1963-09-10,35,approve,56
1963-08-15,1963-08-20,35,approve,62
1963-07-18,1963-07-23,35,approve,60
1963-05-23,1963-05-28,35,approve,63
1963-05-06,1963-05-06,35,approve,64
1963-05-02,1963-05-02,35,approve,63
1963-04-04,1963-04-09,35,approve,65
1963-03-08,1963-03-13,35,approve,66
1963-02-07,1963-02-12,35,approve,70
1963-01-11,1963-01-16,35,approve,73
1962-12-13,1962-12-18,35,approve,75
1962-11-16,1962-11-21,35,approve,72
1962-10-19,1962-10-24,35,approve,60
1962-09-20,1962-09-25,35,approve,62
1962-08-23,1962-08-28,35,approve,67
1962-07-26,1962-07-31,35,approve,65
1962-06-28,1962-07-03,35,approve,68
1962-05-29,1962-05-29,35,approve,70
1962-05-01,1962-05-01,35,approve,73
1962-04-04,1962-04-04,35,approve,77
1962-03-06,1962-03-06,35,approve,79
1962-02-08,1962-02-13,35,approve,77
1962-01-11,1962-01-16,35,approve,78
1961-12-05,1961-12-05,35,approve,76
1961-11-15,1961-11-15,35,approve,79
1961-10-19,1961-10-24,35,approve,76
1961-09-19,1961-09-19,35,approve,78
1961-08-24,1961-08-29,35,approve,75
1961-07-25,1961-07-25,35,approve,74
1961-06-21,1961-06-21,35,approve,71
1961-05-28,1961-06-02,35,approve,73
1961-05-15,1961-05-15,35,approve,74
1961-05-04,1961-05-09,35,approve,77
1961-04-28,1961-05-03,35,approve,83
1961-04-04,1961-04-04,35,approve,78
1961-03-10,1961-03-15,35,approve,72
